Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Card_Type,Card_Age,Authentication_Method,Risk_Score,Is_Weekend,Transaction_Month,Transaction_Day,Transaction_Hour,Transaction_DayOfWeek,Failed_Transaction_Rate,Transaction_Ratio
Online,85878.1,Tablet,London,Electronics,Mastercard,190.0,PIN,0.9324,0,11,27,2,0,0.2,0.4433696174498047
ATM Withdrawal,73821.2,Tablet,New York,Groceries,Discover,201.0,PIN,0.638,0,7,3,15,0,0.3333333333333333,0.09456021915663829
ATM Withdrawal,946.11,Laptop,London,Restaurants,Discover,62.0,OTP,0.0374,0,5,26,17,4,0.8,1.0315806032957093
Online,34190.99,Mobile,Sydney,Electronics,Discover,36.0,Biometric,0.9514,1,7,29,2,5,0.6,0.4406978448907785
Bank Transfer,61955.3,Mobile,Sydney,Groceries,Discover,195.0,Password,0.2746,0,5,12,5,4,2.0,0.2752293577981651
Bank Transfer,43955.47,Mobile,Sydney,Travel,Visa,89.0,PIN,0.7924,0,9,25,3,0,0.0,0.45696668664896806
ATM Withdrawal,2948.86,Mobile,London,Groceries,Discover,124.0,PIN,0.4,0,11,15,22,2,0.0,0.009202318276335
Online,76346.15,Tablet,London,Restaurants,Discover,233.0,Password,0.8442,0,4,28,6,4,1.3333333333333333,0.0801223241590214
Online,55721.77,Laptop,Sydney,Clothing,Mastercard,236.0,Biometric,0.4629,0,2,20,19,0,0.8,0.6319974887517004
ATM Withdrawal,15602.15,Laptop,New York,Travel,Mastercard,58.0,Biometric,0.0237,0,4,14,11,4,0.16666666666666666,0.4006382978723404
ATM Withdrawal,57952.4,Mobile,London,Travel,Discover,209.0,Biometric,0.3531,1,12,9,22,5,2.0,0.17605693467762434
ATM Withdrawal,21970.7,Laptop,Mumbai,Restaurants,Visa,32.0,Biometric,0.5543,0,5,11,20,3,0.5714285714285714,0.21637869611685073
Bank Transfer,21172.97,Tablet,unknown,Clothing,Visa,117.0,Password,0.0013,0,3,23,2,3,2.0,0.2445826357330782
Bank Transfer,11222.92,Mobile,London,Electronics,Amex,164.0,PIN,0.6536,0,11,14,15,1,0.16666666666666666,0.24417331113642338
ATM Withdrawal,29944.35,Tablet,Mumbai,Travel,Visa,183.0,Biometric,0.4548,0,1,13,1,4,0.0,0.19678931736174182
Online,74730.53,Laptop,London,Travel,Visa,77.0,Password,0.9325,0,6,19,16,0,0.2727272727272727,0.7519054878048781
POS,33944.53,Tablet,Tokyo,Travel,Mastercard,120.0,Biometric,0.4424,0,5,9,22,1,0.6666666666666666,0.4704162407587895
Online,11542.26,Tablet,Sydney,Groceries,Mastercard,56.0,Biometric,0.5563,0,10,25,7,2,0.2857142857142857,0.44033451270504986
ATM Withdrawal,49472.19,Mobile,Sydney,Clothing,Discover,32.0,Password,0.8156,1,4,29,15,5,4.0,0.38015134718272525
Bank Transfer,62706.17,Laptop,Sydney,Electronics,Visa,58.0,Password,0.4685,0,4,13,3,3,0.2222222222222222,0.1598240469208211
POS,49543.86,Mobile,Mumbai,Restaurants,Mastercard,83.0,OTP,0.759,0,8,4,16,4,0.2727272727272727,0.22275493269408078
ATM Withdrawal,68233.95,Mobile,Tokyo,Restaurants,Amex,1.0,Biometric,0.0064,0,8,17,0,3,0.23076923076923078,0.15483191433336257
POS,46551.9,Tablet,London,Travel,Mastercard,4.0,Biometric,0.2539,0,1,9,12,0,3.0,0.024637640211341228
Online,78524.9,Laptop,New York,Clothing,Visa,217.0,OTP,0.0324,1,2,4,1,5,0.3333333333333333,0.3653968253968254
POS,19221.45,Tablet,New York,Restaurants,Visa,52.0,Password,0.9324,0,10,20,11,4,0.5,0.0790610965172443
Bank Transfer,39996.92,Mobile,Sydney,Electronics,Discover,152.0,Password,0.9658,0,11,8,14,2,0.15384615384615385,0.23149457802923148
ATM Withdrawal,34133.58,Mobile,Sydney,Groceries,Visa,113.0,PIN,0.6726,0,8,9,17,2,0.0,0.4497878359264497
POS,65264.66,Laptop,Tokyo,Travel,Mastercard,192.0,PIN,0.0901,1,1,8,9,6,0.25,1.3396260664367396
ATM Withdrawal,4166.03,Mobile,Tokyo,Restaurants,Mastercard,155.0,OTP,0.7214,0,3,29,7,2,0.0,0.21438471438471438
POS,92354.66,Mobile,Mumbai,Electronics,Mastercard,140.0,Password,0.3819,1,11,11,23,5,0.2857142857142857,0.09516565761051447
POS,28257.81,Mobile,Tokyo,Restaurants,Amex,191.0,OTP,0.0643,1,1,1,13,6,0.3333333333333333,0.36342926991887986
Bank Transfer,35377.26,Mobile,Mumbai,Groceries,Mastercard,205.0,Biometric,0.2082,0,4,27,19,3,0.07692307692307693,0.3503720914570495
ATM Withdrawal,43633.93,Tablet,Mumbai,Clothing,Mastercard,81.0,Biometric,0.9783,0,6,23,14,4,0.2727272727272727,0.278119237861094
Online,1125.93,Laptop,London,Electronics,Discover,8.0,Biometric,0.4071,0,6,5,5,0,1.0,0.43299574688065423
POS,44278.01,Tablet,Mumbai,Groceries,Visa,21.0,Password,0.1541,1,3,4,3,5,0.2727272727272727,0.5249751969061937
Bank Transfer,80380.93,Tablet,Tokyo,Groceries,Amex,10.0,PIN,0.7601,1,4,9,6,6,0.0,0.428539293674976
ATM Withdrawal,1908.56,Laptop,Tokyo,Groceries,Visa,29.0,PIN,0.9396,0,5,9,6,1,0.4,0.5268754747330325
Online,46333.83,Tablet,Sydney,Travel,Mastercard,66.0,PIN,0.8739,0,10,18,17,2,0.5,0.8114735989395391
Online,56459.9,Laptop,Sydney,Groceries,Mastercard,238.0,Password,0.5942,0,3,22,2,2,0.375,0.7065590312815339
ATM Withdrawal,30918.99,Mobile,Tokyo,Restaurants,Amex,91.0,PIN,0.233,0,5,5,3,4,0.5,0.29350342546657215
ATM Withdrawal,29837.0,Laptop,Mumbai,Travel,Mastercard,220.0,Password,0.2364,1,1,14,4,5,0.0,0.07177298675386576
POS,64499.16,Laptop,Tokyo,Clothing,Visa,196.0,Password,0.1852,1,9,3,11,6,0.4,0.011797842376574375
Bank Transfer,88540.8,Mobile,Mumbai,Groceries,Mastercard,11.0,PIN,0.5592,1,12,3,20,6,0.0,0.17552113491603938
ATM Withdrawal,75602.24,Mobile,Tokyo,Travel,Mastercard,178.0,OTP,0.0922,0,12,8,8,4,0.0,0.29149247491638797
ATM Withdrawal,70433.18,Tablet,Tokyo,Electronics,Amex,54.0,Password,0.1803,1,1,14,7,5,0.5,0.013009070212842843
Bank Transfer,58634.16,Laptop,London,Travel,Visa,79.0,OTP,0.0483,0,10,3,23,1,0.3333333333333333,0.16415493834848674
ATM Withdrawal,61500.4,Mobile,London,Restaurants,Visa,114.0,Password,0.8779,0,12,6,23,2,0.15384615384615385,0.17649791927598887
POS,94443.96,Mobile,New York,Groceries,Discover,129.0,Biometric,0.5927,0,9,22,15,4,0.5,0.016525414253449316
Online,26456.56,Tablet,Tokyo,Electronics,Mastercard,102.0,OTP,0.7455,0,10,16,9,0,0.1,0.5507298569096322
Bank Transfer,93953.39,Tablet,Sydney,Travel,Mastercard,192.0,OTP,0.5744,1,4,29,3,5,2.0,0.14012227907380104
Bank Transfer,30549.48,Laptop,New York,Clothing,Discover,97.0,OTP,0.7764,1,11,18,0,5,0.23076923076923078,0.11731001206272618
POS,88529.64,Tablet,Mumbai,Groceries,Mastercard,81.0,OTP,0.3195,0,9,20,5,2,0.5,2.2072685973878476
POS,50438.95,Tablet,New York,Clothing,Discover,183.0,Password,0.4118,0,10,10,9,1,0.0,1.899720149253731
Bank Transfer,18221.37,Tablet,London,Groceries,Amex,81.0,Biometric,0.99,0,2,10,19,4,0.1,0.22090048605781526
Bank Transfer,50398.92,Laptop,Tokyo,Electronics,Discover,196.0,PIN,0.6632,0,8,25,19,4,0.0,0.01794557074533373
Online,95787.6,Tablet,Mumbai,Restaurants,Visa,137.0,Biometric,0.9583,0,6,7,22,2,0.0,0.3572190611664296
Bank Transfer,43520.73,Laptop,Tokyo,Clothing,Visa,17.0,Biometric,0.1363,0,10,20,16,4,0.25,0.46398701785045565
POS,92533.61,Tablet,Tokyo,Groceries,Visa,219.0,PIN,0.0576,1,3,19,4,6,3.0,0.3514304835201606
Online,46745.78,Tablet,Mumbai,Electronics,Amex,153.0,OTP,0.7763,0,11,15,15,2,0.14285714285714285,0.035178371043085674
Online,88370.43,Laptop,London,Restaurants,Visa,70.0,Password,0.8314,0,4,18,21,1,0.6666666666666666,0.06782139241930041
Online,74251.87,Tablet,Tokyo,Electronics,Amex,187.0,Password,0.9412,0,1,4,19,2,0.5,0.38038176672487506
Bank Transfer,8103.97,Tablet,New York,Electronics,Amex,204.0,Password,0.6405,0,7,19,22,2,0.2727272727272727,0.8742612293144207
POS,93502.2,Laptop,Sydney,Travel,Discover,61.0,Biometric,0.7277,0,8,29,2,1,0.3333333333333333,0.9498548598041404
Bank Transfer,74207.94,Mobile,Tokyo,Groceries,Mastercard,201.0,PIN,0.7625,0,1,31,23,1,0.2222222222222222,0.9788645570363411
Online,25945.23,Mobile,London,Travel,Discover,47.0,Password,0.1458,1,12,30,16,5,1.0,0.3077985925902124
Online,93927.31,Mobile,Sydney,Electronics,Amex,234.0,Password,0.7385,0,11,1,1,2,0.5,0.6847599164926931
POS,25327.04,Laptop,London,Clothing,Mastercard,184.0,Biometric,0.5109,0,3,10,19,4,0.0,1.6066411238825031
ATM Withdrawal,2377.99,Mobile,Mumbai,Travel,Mastercard,23.0,Biometric,0.3919,0,12,6,6,2,0.07692307692307693,0.06703323360556318
Bank Transfer,77678.19,Mobile,New York,Travel,Visa,83.0,Biometric,0.1421,1,2,19,12,6,0.16666666666666666,0.041409499986405286
Bank Transfer,19129.99,Laptop,Mumbai,Clothing,Discover,78.0,OTP,0.7587,0,5,10,4,2,0.0,0.19188712522045856
Online,50975.78,Laptop,Tokyo,Travel,Mastercard,87.0,Password,0.5804,1,4,1,23,5,0.0,0.45816200657894735
Bank Transfer,55165.27,Tablet,Mumbai,Clothing,Discover,180.0,PIN,0.1485,1,2,25,18,5,0.2727272727272727,0.04939728135419339
ATM Withdrawal,24082.51,Laptop,New York,Restaurants,Mastercard,68.0,Password,0.5491,0,9,19,5,1,0.25,0.1554678998911861
POS,23672.0,Tablet,New York,Restaurants,Visa,138.0,Password,0.3754,1,9,10,10,6,0.75,0.8230615355305773
Bank Transfer,74979.82,Laptop,Tokyo,Clothing,Visa,55.0,PIN,0.5306,0,11,24,20,4,0.23076923076923078,0.21945823927765237
Bank Transfer,92518.1,Laptop,New York,Restaurants,Visa,180.0,Biometric,0.4098,0,4,27,3,3,0.5,0.08913784705309304
POS,48347.1,Tablet,Mumbai,Clothing,Discover,57.0,Biometric,0.3348,0,3,31,10,4,0.23076923076923078,0.1782236764300075
ATM Withdrawal,15888.62,Tablet,Sydney,Clothing,Amex,68.0,Password,0.8027,0,4,5,14,2,0.42857142857142855,0.5452668603762043
Online,9410.12,Tablet,New York,Restaurants,Amex,24.0,OTP,0.9776,0,5,11,16,3,0.14285714285714285,0.2331665198994824
POS,57649.68,Mobile,London,Restaurants,Visa,225.0,Biometric,0.4785,0,8,29,23,1,0.5,0.4623238808632067
ATM Withdrawal,18491.85,Laptop,Tokyo,Travel,Discover,208.0,Biometric,0.9016,0,11,14,20,1,1.0,0.04467747917860876
POS,60341.32,Tablet,New York,Groceries,Mastercard,52.0,PIN,0.8026,0,10,9,2,0,0.1111111111111111,0.06120808821165654
POS,47692.05,Tablet,Mumbai,Travel,Visa,5.0,OTP,0.1731,0,5,10,2,2,0.3,0.062180682340976776
POS,28331.15,Mobile,Mumbai,Electronics,Mastercard,97.0,OTP,0.6163,0,7,17,1,0,0.3333333333333333,0.13563287342531494
POS,9007.84,Mobile,London,Electronics,Amex,16.0,Biometric,0.0612,0,8,21,18,0,0.42857142857142855,0.6491954022988505
ATM Withdrawal,19227.64,Laptop,Tokyo,Restaurants,Visa,58.0,Password,0.3987,0,3,20,19,0,0.125,0.18951799921509863
Bank Transfer,96076.8,Mobile,London,Travel,Mastercard,227.0,Biometric,0.0774,0,5,12,23,4,0.15384615384615385,0.1405113282061941
POS,41782.97,Tablet,London,Groceries,Discover,214.0,PIN,0.9016,0,10,19,23,3,0.21428571428571427,0.16455166643424907
POS,81421.21,Mobile,Mumbai,Electronics,Mastercard,71.0,Biometric,0.9603,0,10,19,12,3,0.0,0.14898793304787855
Online,10742.01,Mobile,Tokyo,Groceries,Amex,8.0,Biometric,0.5225,0,10,27,5,4,0.3,0.048966441878614445
POS,21190.46,Laptop,New York,Groceries,Amex,76.0,PIN,0.092,0,10,17,6,1,1.5,4.256560773480663
Bank Transfer,77041.72,Mobile,Tokyo,Groceries,Visa,217.0,OTP,0.9631,1,10,7,14,5,0.5,0.08269600425340477
POS,1321.45,Tablet,New York,Groceries,Amex,208.0,OTP,0.4876,1,10,28,18,5,0.3076923076923077,0.5102636267396524
POS,87724.59,Laptop,Mumbai,Clothing,Discover,145.0,PIN,0.2422,0,8,11,11,5,0.09090909090909091,0.10236524786148612
ATM Withdrawal,87554.66,Mobile,London,Groceries,Visa,8.0,PIN,0.1839,1,5,20,1,5,0.0,0.10362694300518134
Bank Transfer,81045.44,Tablet,Tokyo,Electronics,Mastercard,34.0,Biometric,0.2812,0,3,3,16,4,0.18181818181818182,0.4035687573458703
Bank Transfer,53458.44,Mobile,London,Restaurants,Mastercard,117.0,Password,0.6676,1,12,31,19,6,0.5714285714285714,0.16302808302808305
Bank Transfer,97663.46,Tablet,London,Clothing,Visa,195.0,PIN,0.3151,0,3,20,20,0,0.25,0.2770622875472782
Online,54564.95,Mobile,Tokyo,Electronics,Discover,116.0,OTP,0.9777,0,10,26,3,3,0.75,2.215050310426033
ATM Withdrawal,46307.55,Laptop,Sydney,Electronics,Amex,26.0,PIN,0.3689,0,5,9,10,1,0.0,0.16568640264889123
Online,34547.35,Mobile,Tokyo,Restaurants,Discover,128.0,Biometric,0.8429,0,8,23,0,2,0.07692307692307693,0.22876596939491786
POS,93213.17,Laptop,Sydney,Groceries,Amex,65.0,Biometric,0.8494,0,8,14,19,0,0.42857142857142855,0.0909215547380207
Online,11830.72,Laptop,Mumbai,Restaurants,Amex,176.0,Password,0.7692,1,9,2,10,5,0.3076923076923077,0.14034037031491742
POS,28826.46,Mobile,Sydney,Travel,Mastercard,200.0,Password,0.2018,0,12,29,8,4,1.0,0.6846807819353442
ATM Withdrawal,61907.35,Tablet,London,Travel,Discover,232.0,OTP,0.6711,1,6,11,14,6,0.07142857142857142,0.5174465348126709
ATM Withdrawal,84520.73,Mobile,Tokyo,Travel,Mastercard,121.0,Password,0.5145,0,8,24,10,3,0.2727272727272727,0.14480633802816903
Bank Transfer,62588.9,Laptop,unknown,Clothing,Mastercard,146.0,PIN,0.512,0,11,28,2,1,0.3333333333333333,0.10354687329477245
ATM Withdrawal,49837.86,Mobile,Tokyo,Electronics,Discover,227.0,Password,0.1511,0,1,11,19,2,0.5,0.25323771807770523
Online,57283.64,Tablet,Tokyo,Groceries,Visa,239.0,Password,0.6355,0,12,4,13,0,0.08333333333333333,1.8088589311506982
Online,33815.35,Tablet,New York,Groceries,Mastercard,144.0,Biometric,0.3758,0,4,5,21,2,0.21428571428571427,0.19841447074586868
ATM Withdrawal,69494.7,Tablet,New York,Groceries,Visa,212.0,PIN,0.1906,1,4,2,11,6,0.5714285714285714,0.05540294364283029
POS,65662.2,Tablet,New York,Restaurants,Discover,82.0,OTP,0.7445,0,1,3,9,1,0.75,0.18557978196233896
Bank Transfer,13712.1,Mobile,Mumbai,Restaurants,Visa,7.0,PIN,0.3523,0,12,5,5,1,0.8,0.04450337385459605
POS,63342.22,Tablet,Mumbai,Travel,Discover,175.0,Biometric,0.9723,0,6,30,4,4,0.0,0.4127017617892182
Bank Transfer,34638.34,Tablet,Mumbai,Electronics,Discover,76.0,OTP,0.7114,0,6,20,6,1,0.2,0.21756802803874797
Bank Transfer,40826.68,Mobile,New York,Travel,Mastercard,40.0,Biometric,0.998,0,10,3,19,1,0.36363636363636365,0.6475139226998365
Bank Transfer,4729.75,Tablet,Mumbai,Electronics,Visa,132.0,OTP,0.9332,0,12,14,15,3,0.6666666666666666,0.08289959307277373
POS,58019.08,Laptop,Tokyo,Restaurants,Visa,50.0,PIN,0.4372,1,6,4,4,6,3.0,0.20007154995080942
Online,1216.97,Laptop,London,Travel,Discover,133.0,PIN,0.0724,1,3,12,21,6,0.2222222222222222,0.32776194998417224
Online,55176.38,Laptop,New York,Groceries,Discover,15.0,Password,0.8999,0,11,9,18,3,1.0,2.3492177114224355
POS,38452.65,Tablet,New York,Restaurants,Discover,38.0,Biometric,0.5394,1,11,18,18,5,0.1,1.0076476419770573
ATM Withdrawal,21805.22,Tablet,Sydney,Groceries,Discover,162.0,OTP,0.1735,0,9,6,0,2,1.0,0.10700478520641271
ATM Withdrawal,32214.94,Mobile,London,Electronics,Amex,31.0,Biometric,0.2056,0,11,29,8,2,2.0,0.5193915409349493
Bank Transfer,80984.62,Laptop,Mumbai,Groceries,Mastercard,166.0,Biometric,0.9681,0,1,20,8,4,0.6666666666666666,0.17476993240491895
Online,71644.99,Laptop,Tokyo,Restaurants,Discover,81.0,Password,0.5921,0,5,16,5,1,0.3333333333333333,0.2609715242881072
POS,60511.33,Laptop,New York,Clothing,Mastercard,126.0,PIN,0.6955,0,1,20,10,4,3.0,0.039618138424821
Online,90249.96,Laptop,Mumbai,Groceries,Visa,164.0,OTP,0.2167,0,3,21,1,1,0.0,8.938697318007664
POS,26107.74,Tablet,Tokyo,Restaurants,Mastercard,152.0,OTP,0.8557,0,11,20,18,0,0.5,0.3978141834223769
POS,65204.56,Mobile,New York,Clothing,Discover,60.0,OTP,0.8384,0,9,4,14,0,0.3,0.060562970623404315
ATM Withdrawal,59610.85,Laptop,Sydney,Groceries,Mastercard,133.0,Password,0.1247,1,11,19,7,6,0.6666666666666666,0.31539664277074664
ATM Withdrawal,48513.14,Tablet,London,Groceries,Discover,96.0,Biometric,0.9983,1,11,12,19,6,1.0,0.5966512632779212
POS,33855.46,Mobile,Sydney,Electronics,Discover,113.0,Password,0.3506,0,2,2,8,3,0.09090909090909091,0.499402368792785
ATM Withdrawal,65281.22,Mobile,Tokyo,Electronics,Mastercard,159.0,Password,0.7825,0,4,26,14,2,0.5,0.08091872791519435
Online,64495.37,Mobile,Tokyo,Electronics,Amex,158.0,Biometric,0.9397,0,3,14,14,1,0.2727272727272727,0.10879652241867734
POS,58523.67,Laptop,New York,Restaurants,Discover,61.0,Biometric,0.2934,1,2,12,15,6,0.0,2.9587768204088527
ATM Withdrawal,74971.93,Tablet,New York,Travel,Mastercard,116.0,OTP,0.0405,0,3,22,3,2,0.75,0.42606594434484374
Bank Transfer,3425.79,Tablet,London,Groceries,Amex,181.0,OTP,0.8502,0,1,5,7,3,0.0,0.13536433608332948
POS,17184.77,Mobile,Sydney,Travel,Visa,127.0,OTP,0.7325,0,7,4,3,1,1.0,0.6911392405063291
POS,19758.12,Mobile,Mumbai,Groceries,Mastercard,221.0,PIN,0.7197,0,8,11,11,5,0.5714285714285714,0.40614241215366953
POS,99659.45,Laptop,Mumbai,Restaurants,Mastercard,149.0,Password,0.2836,0,8,11,11,5,1.0,0.1466420664206642
Online,73533.45,Tablet,Tokyo,Clothing,Mastercard,197.0,Password,0.3164,0,4,19,10,2,0.3076923076923077,0.15788786803090415
Bank Transfer,64525.01,Laptop,Sydney,Electronics,Amex,143.0,Password,0.7053,0,1,5,16,3,0.3076923076923077,0.30910030094776086
Bank Transfer,88703.89,Laptop,Sydney,Groceries,Discover,123.0,PIN,0.6055,0,6,5,13,0,0.75,0.15202854866091536
Bank Transfer,89167.07,Laptop,New York,Groceries,Mastercard,237.0,Biometric,0.9904,1,11,25,17,5,0.0,0.7743308481160911
ATM Withdrawal,92516.14,Tablet,New York,Restaurants,Discover,11.0,Biometric,0.5723,0,5,23,21,1,0.36363636363636365,0.15213896404344585
Online,83572.67,Laptop,New York,Travel,Mastercard,160.0,PIN,0.3645,0,11,6,22,0,0.75,0.05888812913118253
ATM Withdrawal,18944.25,Tablet,Tokyo,Clothing,Amex,188.0,PIN,0.8853,1,3,5,16,6,2.0,0.6730264215660003
Online,65997.51,Laptop,unknown,Electronics,Amex,59.0,Biometric,0.3367,1,1,22,22,6,0.0,0.0028298549699327913
ATM Withdrawal,56929.93,Mobile,Sydney,Electronics,Amex,91.0,Biometric,0.1248,0,5,9,18,1,0.4,0.022099670727026646
ATM Withdrawal,36748.5,Mobile,Mumbai,Groceries,Mastercard,133.0,Biometric,0.9848,0,1,6,11,4,0.4444444444444444,0.15482770385533948
ATM Withdrawal,84429.83,Laptop,London,Travel,Visa,85.0,OTP,0.4456,1,6,3,21,5,0.375,0.2439982540375382
Online,79470.61,Laptop,New York,Electronics,Mastercard,85.0,OTP,0.2641,0,5,19,0,4,0.0,0.25335079075216205
POS,54817.87,Tablet,New York,Travel,Visa,33.0,Biometric,0.2476,0,2,8,13,2,0.0,0.11904507012097205
Bank Transfer,73072.08,Laptop,Tokyo,Groceries,Visa,48.0,Biometric,0.063,0,11,13,0,0,1.0,0.35035550821842887
POS,29212.36,Tablet,Tokyo,Clothing,Amex,73.0,Password,0.2382,0,10,18,10,2,2.0,0.8297072680112223
POS,77534.54,Laptop,Mumbai,Electronics,Visa,205.0,Password,0.8607,0,10,6,6,4,0.2,0.3913293688854786
Bank Transfer,35944.74,Laptop,New York,Electronics,Mastercard,163.0,OTP,0.4196,1,1,1,4,6,3.0,0.5770389714744878
ATM Withdrawal,43282.73,Tablet,London,Restaurants,Visa,145.0,Biometric,0.9728,0,5,4,19,3,0.14285714285714285,0.0882528588175444
Bank Transfer,2063.38,Tablet,London,Travel,Mastercard,172.0,Biometric,0.1528,1,2,11,14,5,0.4,0.05977597569905888
ATM Withdrawal,41507.36,Tablet,New York,Groceries,Mastercard,135.0,PIN,0.548,0,12,1,11,4,0.0,0.07998963193364438
Bank Transfer,14315.38,Laptop,London,Restaurants,Visa,237.0,OTP,0.728,0,3,10,19,4,0.8,0.25463480529159677
Bank Transfer,40227.23,Laptop,Sydney,Groceries,Amex,176.0,PIN,0.5123,0,7,3,15,0,0.15384615384615385,0.02772548808691443
POS,6043.83,Mobile,Mumbai,Travel,Discover,123.0,Password,0.7176,0,6,12,3,0,0.16666666666666666,0.1858574797843666
ATM Withdrawal,60315.0,Laptop,Mumbai,Electronics,Discover,97.0,Biometric,0.6463,0,6,7,10,2,0.21428571428571427,0.3556662658191605
ATM Withdrawal,35940.87,Mobile,New York,Restaurants,Visa,143.0,PIN,0.3225,0,5,11,0,3,0.14285714285714285,3.0194361758010855
Bank Transfer,18326.87,Tablet,Sydney,Clothing,Mastercard,3.0,OTP,0.7082,0,1,9,15,0,1.0,0.4049993170331922
POS,55338.76,Tablet,London,Groceries,Visa,161.0,OTP,0.0466,0,7,10,22,0,0.0,1.3979342514438027
POS,94483.96,Tablet,New York,Electronics,Discover,201.0,Biometric,0.6562,0,12,11,6,0,2.0,0.053523000562861384
POS,86112.73,Laptop,Sydney,Travel,Visa,170.0,Password,0.481,0,2,2,21,3,0.2222222222222222,1.7162775071392575
POS,91249.96,Tablet,New York,Groceries,Mastercard,64.0,Password,0.9292,0,6,14,19,2,0.5,0.25707212728627393
POS,57152.22,Laptop,Mumbai,Groceries,Discover,11.0,Password,0.1642,0,3,21,16,1,0.4444444444444444,0.20151575324331478
ATM Withdrawal,16484.88,Laptop,Sydney,Groceries,Discover,192.0,Biometric,0.8355,0,5,29,0,0,0.0,0.04931972789115647
ATM Withdrawal,40322.9,Laptop,unknown,Restaurants,Visa,214.0,OTP,0.7044,0,10,27,13,4,0.3333333333333333,0.25238484600708644
Bank Transfer,59505.47,Mobile,Mumbai,Electronics,Mastercard,75.0,PIN,0.3978,0,10,25,13,2,4.0,0.5488659483083415
POS,61513.14,Tablet,London,Groceries,Amex,135.0,PIN,0.6201,1,3,12,16,6,1.0,0.5512815687455305
Online,11683.62,Laptop,London,Travel,Amex,92.0,OTP,0.119,0,5,9,8,1,0.2727272727272727,0.215002005615724
ATM Withdrawal,68432.76,Mobile,Sydney,Clothing,Mastercard,52.0,OTP,0.1505,1,11,18,3,5,0.75,0.016495245488065205
Online,58882.19,Laptop,Sydney,Clothing,Mastercard,128.0,PIN,0.8594,0,12,7,14,3,0.75,0.047675725715797125
Bank Transfer,12870.96,Laptop,New York,Groceries,Mastercard,199.0,Biometric,0.8318,0,4,24,20,0,0.0,0.528830425299891
Bank Transfer,58854.86,Tablet,New York,Travel,Discover,113.0,Biometric,0.1593,0,3,23,6,3,1.0,0.024540630834234058
Online,30932.07,Tablet,New York,Groceries,Mastercard,167.0,PIN,0.7791,1,12,3,22,6,0.4,0.017692444129123804
ATM Withdrawal,8443.89,Mobile,Sydney,Clothing,Discover,130.0,Password,0.9524,0,11,15,12,2,0.0,0.10840300410939495
POS,68016.28,Mobile,London,Clothing,Amex,176.0,Biometric,0.8748,0,8,11,11,5,0.08333333333333333,0.0009757539917208753
POS,44776.59,Tablet,Mumbai,Electronics,Mastercard,32.0,Password,0.9183,1,10,7,12,5,0.0,0.13669630568238916
POS,86259.33,Tablet,London,Clothing,Visa,238.0,Biometric,0.5967,0,5,9,12,1,0.0,0.14327395577395577
ATM Withdrawal,29078.01,Laptop,London,Restaurants,Mastercard,231.0,Password,0.0014,0,8,14,2,0,0.4,2.9431856611430502
Online,2323.77,Tablet,New York,Electronics,Discover,200.0,PIN,0.0061,0,4,21,13,4,0.375,0.6582488379046946
ATM Withdrawal,97743.46,Tablet,New York,Groceries,Amex,39.0,PIN,0.4869,0,3,23,2,3,0.25,0.06546715803164968
Online,82517.68,Tablet,London,Electronics,Amex,152.0,OTP,0.4347,0,8,25,10,4,0.75,0.778051029818629
Bank Transfer,97642.39,Tablet,London,Electronics,Discover,144.0,OTP,0.4841,0,6,15,12,3,0.0,1.8690023630946264
ATM Withdrawal,39974.79,Mobile,Tokyo,Groceries,Discover,196.0,Password,0.618,0,8,23,13,2,0.2857142857142857,0.3001817080557238
Bank Transfer,81657.01,Laptop,New York,Clothing,Mastercard,89.0,Password,0.7269,0,8,8,21,1,1.0,0.19415312720752048
ATM Withdrawal,16280.92,Mobile,New York,Clothing,Mastercard,131.0,Biometric,0.4054,0,10,2,12,0,0.1,0.17464469009080144
ATM Withdrawal,86657.16,Mobile,London,Restaurants,Discover,199.0,Biometric,0.3438,0,2,16,0,3,0.1,0.19402925900963405
ATM Withdrawal,65972.65,Mobile,New York,Clothing,Visa,17.0,Password,0.9911,0,10,31,8,1,0.21428571428571427,0.7585544692737429
Online,57702.56,Tablet,Sydney,Groceries,Discover,190.0,Biometric,0.1699,1,12,10,7,6,0.0,0.02374050787948069
Online,35658.98,Laptop,Mumbai,Groceries,Mastercard,84.0,OTP,0.322,0,9,28,18,3,0.5714285714285714,4.169689119170984
Bank Transfer,46497.75,Laptop,Tokyo,Travel,Amex,8.0,Biometric,0.9382,0,12,22,15,4,0.0,0.12057729169015673
Online,26576.68,Laptop,Mumbai,Groceries,Visa,170.0,Biometric,0.4725,1,11,19,23,6,0.0,1.0934489402697496
Bank Transfer,26336.11,Mobile,Mumbai,Groceries,Discover,86.0,Password,0.671,0,10,16,16,0,0.8,0.09302818393727484
Bank Transfer,22061.98,Laptop,London,Groceries,Visa,153.0,PIN,0.54,0,7,28,16,4,1.0,0.014296754250386397
POS,65893.34,Mobile,London,Clothing,Amex,202.0,PIN,0.8609,1,10,22,12,6,0.2727272727272727,0.34209349433088676
POS,25136.46,Tablet,Mumbai,Electronics,Visa,70.0,OTP,0.105,1,8,19,23,5,0.21428571428571427,1.5792321298512122
Bank Transfer,62779.19,Tablet,London,Groceries,Amex,129.0,PIN,0.7236,1,9,3,15,6,0.0,2.9048951048951053
